Source,Target
339846,152747
218746,52449
218746,59861
218746,118
218746,194
218746,10830
452731,370663
452731,258480
452731,437557
452731,10735
452731,10818
134374,111
134374,9737
134374,272
134374,339846
134374,238
225886,87567
225886,290762
225886,38
225886,11522
225886,11224
384677,769
384677,2291
384677,10707
384677,968
384677,18487
454992,691
454992,646
454992,660
454992,954
454992,206647
77338,44564
77338,68718
77338,72105
77338,862
77338,13
11631,437557
11631,10735
11631,109445
11631,634
11631,433
400579,433
400579,2758
400579,277216
400579,82702
400579,111
62764,290595
62764,58595
62764,408
62764,672
62764,674
4247,22705
4247,398181
4247,238636
4247,106646
4247,979
260514,335797
260514,9986
260514,258509
260514,9598
260514,15171
391713,398818
391713,376867
391713,11421
391713,9813
391713,84892
489929,50620
489929,238
489929,240
489929,272
489929,339846
106646,4771
106646,261023
106646,769
106646,400535
106646,398181
4944,50546
4944,1586
4944,11588
4944,332872
4944,455565
278154,425
278154,17610
278154,18905
278154,387592
278154,49519
227159,8067
227159,483
227159,562
227159,1571
227159,769
196867,11224
196867,150689
196867,224141
196867,9325
196867,407655
223702,8363
223702,376659
223702,9986
223702,195589
223702,179144
76492,129
76492,671
76492,672
76492,675
296099,11153
296099,135397
296099,329
296099,306
43074,4011
43074,620
43074,91586
43074,675
43074,13475
257445,767
257445,671
257445,674
257445,12444
257445,12445
787,249070
787,1620
787,101
787,253
787,956
109414,627
109414,935
109414,14
109414,185
109414,128
454619,3134
454619,281957
454619,311
454619,238636
454619,467938
364689,920
364689,25475
364689,82703
364689,6477
364689,2503
10735,634
10735,9813
10735,437557
10735,668
10735,118
13374,449176
13374,18126
13374,73
13374,585
13374,14069
57800,425
57800,30505
57800,17610
57800,18905
57800,10567
487702,10625
487702,272693
487702,37725
487702,9880
487702,449176
371638,8966
371638,466282
371638,454983
371638,222935
371638,769
171274,769
171274,403
171274,8966
171274,222935
171274,454983
542437,444705
542437,35595
542437,34509
542437,34001
542437,812
301337,604
301337,605
301337,500664
301337,335984
301337,78
9339,924
9339,82703
9339,264644
9339,334
290250,2275
290250,4771
290250,807
290250,395990
290250,171274
10527,9732
10527,11430
10527,9904
10527,8393
10527,363676
256961,324668
256961,298
256961,3179
256961,12208
256961,646
390043,245891
390043,249070
390043,1620
390043,667
390043,682
22970,460885
22970,98568
22970,17609
22970,298584
22970,11298
810,10191
810,808
810,10882
810,71805
71552,14
71552,1440
71552,843
71552,787
71552,112160
1593,351286
1593,135397
1593,181533
1593,105864
1593,88751
818,817
818,955
818,608
818,691
818,699
140300,9502
140300,808
140300,604
140300,10191
140300,605
9928,198184
9928,87101
9928,2048
9928,157336
9928,644
426030,646
426030,657
426030,667
426030,699
426030,253
4638,4771
4638,984
4638,1696
4638,1949
4638,75780
41630,13
41630,44564
41630,51828
41630,72105
41630,862
502422,157336
502422,21385
502422,10144
502422,67703
502422,326359
8355,351286
8355,135397
8355,15997
8355,105864
8355,329
120467,311
120467,539
120467,97630
120467,843
120467,3021
11130,4974
11130,16642
11130,812
11130,597
11130,159824
22794,1593
22794,2062
22794,105
22794,158852
22794,181533
210860,281957
210860,336843
210860,101299
210860,671
210860,674
46195,278927
46195,9325
46195,15969
46195,14873
50544,862
50544,38
50544,1903
50544,13523
8961,96
8961,306
8961,9679
8961,562
8961,9737
324849,141052
324849,49521
324849,1924
324849,1452
324849,8536
7326,449176
7326,10947
7326,9880
7326,315635
7326,2108
425980,14
425980,935
425980,109414
425980,1359
425980,419430
809,10882
809,150689
809,810
809,224141
11430,150689
11430,9732
11430,810
11430,2270
418827,53932
418827,345
418827,10068
418827,796
418827,28468
41154,602
41154,840
41154,126889
41154,348
41154,20424
7443,1368
7443,1701
7443,1635
7443,708
7443,107846
193893,4771
193893,86838
193893,3580
193893,473149
193893,75780
2770,17899
2770,22705
2770,8363
2770,179144
2770,4247
353616,254470
353616,114150
353616,354912
353616,335797
353616,332562
203801,691
203801,27576
203801,954
203801,660
203801,37724
10555,127380
10555,109445
10555,62177
10555,578
10555,297762
136799,122
136799,109445
136799,35614
136799,32685
136799,60304
9982,228161
9982,602
9982,348
9982,601
9982,607
38055,9806
38055,127380
38055,1927
38055,787
38055,155
4258,957
4258,926
4258,808
4258,762
4258,813
49013,920
49013,489929
49013,105
49013,808
228161,157336
228161,126889
228161,348
228161,19995
228161,286217
5559,813
5559,676
5559,10776
5559,87502
5559,23168
14306,449176
14306,13
14306,179144
14306,562
14306,333339
356305,40508
356305,18885
356305,16314
356305,36647
356305,272
747,935
747,19908
747,170
747,762
747,72190
238713,954
238713,955
238713,691
238713,818
238713,817
431530,11395
431530,13673
431530,10872
431530,9479
431530,8871
634,1581
634,668
634,14
634,118
37834,954
37834,646
37834,660
37834,691
37834,9737
88751,351286
88751,120
88751,667
88751,671
88751,674
4380,4507
4380,28468
4380,638
4380,843
4380,27066
100042,44564
100042,862
100042,920
100042,72105
100042,77338
22705,27066
22705,14174
22705,50124
22705,55580
22705,24402
10184,8390
10184,38
10184,10641
10184,261470
10184,597
116745,578
116745,438970
116745,580
116745,403119
116745,1907
364433,141052
364433,49521
364433,155
364433,1924
364433,1452
80321,10527
80321,10258
80321,270946
80321,9836
80321,953
18240,9813
18240,11631
18240,437557
18240,10735
18240,5915
11688,10882
11688,10144
11688,810
11688,809
11688,224141
9408,1089
9408,551
9408,10961
9408,9266
9408,11857
114150,254470
114150,460019
114150,55721
114150,368031
114150,122081
112160,14
112160,449176
112160,117486
112160,118
112160,2105
10192,808
10192,810
10192,809
10192,10882
10192,14442
7453,299687
7453,336843
7453,101299
7453,644
7453,126889
200727,51828
200727,449176
200727,281957
200727,11121
200727,333339
9023,326359
9023,13933
9023,145316
9023,61549
9023,504492
174321,89185
174321,9880
174321,449176
174321,10625
174321,325189
35,13
35,398818
35,122906
35,5915
35,82703
502682,451480
502682,5951
502682,448514
502682,125255
9471,646
9471,253
9471,954
9471,708
9471,657
10661,612
10661,433627
10661,399248
10661,8885
10661,117486
511785,400547
511785,376867
511785,11000
511785,184352
10022,260513
10022,329865
10022,375366
10022,16577
10022,381693
41513,49521
41513,209112
41513,141052
41513,284052
41513,297762
463053,364689
463053,627
463053,62211
463053,188222
463053,140
18360,1593
18360,863
18360,181533
18360,38055
18360,44826
438970,205321
438970,578
438970,435
438970,580
438970,813
381341,1024
381341,24420
381341,44564
381341,68718
381341,72105
400928,10830
400928,52449
400928,35052
400928,233063
400928,14069
10096,1572
10096,772
10096,26973
10096,688
10096,258480
302699,954
302699,691
302699,27576
302699,646
302699,657
25195,24
25195,712
25195,6557
25195,1979
122906,13
122906,118
122906,72105
122906,627
122906,10735
205321,101299
205321,1979
205321,562
205321,578
205321,1572
8363,449176
8363,15144
8363,193893
8363,17899
8363,15037
4256,40264
4256,5060
4256,4258
4256,8005
4256,3034
376659,179144
376659,225886
376659,22152
376659,8363
22538,16129
22538,359784
22538,9958
22538,49332
22538,42542
188222,862
188222,109414
188222,68718
188222,627
188222,179144
172385,46195
172385,390062
172385,314095
172385,258489
172385,9360
436931,81
436931,12429
436931,128
436931,129
436931,601
136400,272
136400,155
136400,1724
136400,299536
136400,297762
77931,9479
77931,812
77931,38757
77931,10530
77931,10193
19908,336843
19908,170
19908,72190
19908,296099
19908,82654
10315,269149
10315,281957
10315,387592
10315,101
10315,311
454283,1562
454283,105
454283,68718
454283,16314
454283,296099
10625,272693
10625,89185
10625,37725
10625,9880
10625,449176
291870,24
291870,712
291870,6557
291870,50124
291870,11931
211672,366141
211672,20352
211672,93456
211672,1271
211672,350
342473,10545
342473,196867
342473,11224
342473,9325
325189,11887
325189,9880
325189,2105
325189,449176
325189,272693
27022,808
27022,10882
27022,671
27022,672
27022,675
11199,9659
11199,923
11199,9285
11199,21338
11199,42725
39514,254904
39514,954
39514,955
39514,429351
39514,47964
399796,325133
399796,12429
399796,8277
399796,10193
399796,194
112205,238
112205,241554
112205,8195
112205,707
112205,1422
228967,954
228967,955
228967,254904
228967,429351
228967,47964
339404,585
339404,13374
339404,272
339404,621
339404,862
487063,812
487063,270946
487063,489929
487063,542437
487063,17159
397422,521
397422,862
397422,68718
397422,72105
397422,470229
64688,193893
64688,75780
64688,11423
64688,807
64688,9604
1824,1903
1824,38
1824,346685
1824,77
1824,18785
19913,50544
19913,862
19913,398818
19913,38
19913,23949
195589,179144
195589,325133
195589,8363
195589,376659
195589,109414
227973,297762
227973,209112
227973,49521
227973,99861
227973,141052
318846,106646
318846,769
318846,424
318846,316029
318846,324786
4327,140300
4327,11841
4327,9502
4327,604
4327,24
112200,384677
112200,227159
112200,76025
112200,544
112200,249397
505906,20943
505906,4951
505906,384677
505906,14844
505906,390043
346648,278927
346648,411
346648,2454
346648,281957
346648,118
228165,489929
228165,205775
228165,2756
228165,9804
399170,949
399170,298
399170,291805
399170,489931
399170,12208
179144,12271
179144,627
179144,11801
179144,8363
59436,8966
59436,333339
59436,671
59436,674
59436,350
339967,927
339967,458737
339967,928
339967,412000
339967,588
8584,581
8584,808
8584,281957
8584,68718
8584,224141
392,11631
392,745
392,2539
392,601
392,111
49519,12429
49519,98
49519,8392
35019,10830
35019,8966
35019,11631
35019,12155
35019,297762
10947,11887
10947,313369
10947,13649
10947,4951
10947,9880
412988,927
412988,11176
412988,14900
412988,11899
412988,10895
11836,228165
11836,173
11836,166426
11836,1865
11836,10865
427214,389015
427214,266856
427214,769
427214,424
427214,487558
253235,101
253235,118
253235,403
253235,9880
253235,445571
153518,338970
153518,9986
153518,9598
153518,9447
153518,9488
3172,10734
3172,278
3172,638
3172,1701
3172,107846
10591,272693
10591,10625
10591,37725
10591,9880
10591,449176
12242,224141
12242,354912
12242,812
12242,8587
12242,9479
9870,652
9870,271718
9870,2270
9870,676
9870,1824
449749,400928
449749,233063
449749,21484
449749,9769
449749,10328
254320,119450
254320,782
254320,280
254320,76341
254320,294254
1268,9479
1268,1281
1268,927
1268,8195
1268,707
107985,475210
107985,14161
107985,274855
107985,109414
107985,174188
80585,449176
80585,325189
80585,10947
80585,4951
80585,9880
51540,398181
51540,557
51540,9679
51540,340837
51540,64685
50646,8390
50646,1656
50646,10641
50646,111969
50646,11854
1597,9339
1597,170
1597,956
1597,817
1597,25195
138832,4771
138832,339692
138832,429733
138832,273481
138832,398181
268531,59861
268531,406997
268531,346364
268531,10830
268531,118
9398,329833
9398,16367
9398,2760
9398,313347
9398,327081
34544,5353
34544,857
34544,10782
34544,616
34544,746
518452,273153
518452,370663
518452,11631
518452,437557
518452,10735
170687,387592
170687,411
170687,2454
170687,281957
170687,10830
151960,62211
151960,116149
151960,9988
151960,377878
151960,256439
7518,281957
7518,11886
7518,10010
7518,7484
7518,10808
10189,11282
10189,883
10189,13342
10189,9490
10189,9388
252838,712
252838,6557
252838,24
252838,193893
252838,77338
8699,109443
8699,358761
416477,241239
416477,772
416477,9946
416477,8470
416477,20829
233063,8841
233063,400547
233063,52449
233063,59861
233063,118
257211,273153
257211,370663
257211,11631
257211,437557
257211,10735
7446,14
7446,509
7446,258489
7446,856
7446,9360
